District,Latitude,Longitude
Adalar,40.865,29.112
Arnavutkoy,41.1837,28.7419
Atasehir,41.5267,29.3972
Avcilar,40.9798,28.7116
Bagcilar,41.032,28.8319
Bahcelievler,41.0049,28.8311
Bakirkoy,40.9948,28.9022
Basaksehir,41.0803,28.6625
Bayrampasa,41.049,28.8918
Besiktas,41.038,29.0105
Beykoz,41.1357,29.0849
Beylikduzu,40.9822,28.6389
Beyoglu,41.045,28.9572
Buyukcekmece,41.0176,28.5817
Catalca,41.1364,28.4535
Cekmekoy,41.0376,29.176
Esenler,41.0316,28.8557
Esenyurt,41.0232,28.683
Eyup,41.0484,28.9275
Fatih,41.0118,28.9621
Gaziosmanpasa,41.0574,28.9137
Gungoren,41.0224,28.8673
Kadikoy,40.9743,29.0442
Kagithane,41.0836,28.9762
Kartal,40.8907,29.1841
Kucukcekmece,40.9967,28.7833
Maltepe,40.9188,29.1256
Pendik,40.8718,29.2309
Sancaktepe,41.5267,29.3972
Sariyer,41.1546,29.0379
Sile,41.1701,29.6105
Silivri,41.0669,28.2378
Sisli,41.0474,28.987
Sultanbeyli,40.9703,29.258
Sultangazi,43.3262,28.8713
Tuzla,40.8164,29.3002
Umraniye,41.1256,29.0812
Uskudar,41.0250,29.0328
Zeytinburnu,40.9858,28.9019
